"id","user_id","action","category","cat_id","date"
1,4,"instructor fawzy, created a new course #[1]","Courses",1,"2023-10-01 10:28:01"
2,4,"instructor fawzy, updated number of invitations of user #[4], old invitations is 30, new invitations number is 29","Quota",1,"2023-10-01 10:30:04"
3,4,"instructor fawzy, Invited new student #[7], number of participants before invitations is 19, current number is 20","Courses",1,"2023-10-01 10:30:04"
4,4,"instructor fawzy, created a new session [aaaaaaaaaaaaa] #[1]","Courses",1,"2023-10-01 10:30:34"
5,6,"aml , created a new course #[2]","Courses",2,"2023-10-01 10:48:00"
6,6,"aml , created a new session #[1]","Courses",2,"2023-10-01 10:49:49"
7,6,"6, updated storage amount of user #[6], old storage is 300, new storage is 299.9587","Quota",6,"2023-10-01 10:50:45"
8,6,"aml , Insert new media #[1]","Media",1,"2023-10-01 10:50:45"
9,6,"aml , created a new session [First Session V3 Release ] #[2]","Courses",2,"2023-10-01 10:50:47"
10,6,"aml , Updated media Object#[1]","Media",1,"2023-10-01 10:51:27"
11,6,"6, updated storage amount of user #[6], old storage is 299.9587, new storage is 299.4055","Quota",6,"2023-10-01 10:52:53"
12,6,"aml , Insert new media #[2]","Media",2,"2023-10-01 10:52:53"
13,6,"aml , created a new session [session 2] #[3]","Courses",2,"2023-10-01 10:53:04"
14,6,"aml , updated session [session 2] #[3]","Courses",2,"2023-10-01 10:53:09"
15,6,"aml , updated session [session 2] #[3]","Courses",2,"2023-10-01 10:53:46"
16,6,"6, updated storage amount of user #[6], old storage is 299.4055, new storage is 299.3642","Quota",6,"2023-10-01 10:55:51"
17,6,"aml , Insert new media #[3]","Media",3,"2023-10-01 10:55:51"
18,6,"aml , created a new session [Test pdf] #[4]","Courses",2,"2023-10-01 10:55:53"
19,4,"instructor fawzy, created a new session [bbbbbbbbbbb] #[5]","Courses",1,"2023-10-01 11:08:31"
20,4,"instructor fawzy, started a live session #[5]","Courses",1,"2023-10-01 11:09:28"
21,9,"esraa, created a new course #[3]","Courses",3,"2023-10-01 11:09:54"
22,4,"instructor fawzy, ended a live session #[5]","Courses",0,"2023-10-01 11:10:21"
23,9,"esraa, created a new session #[2]","Courses",3,"2023-10-01 11:10:51"
24,9,"esraa, created a new session [pannel] #[6]","Courses",3,"2023-10-01 11:11:35"
25,9,"esraa, started a live session #[6]","Courses",3,"2023-10-01 11:13:43"
26,10,"sohir, created a new course #[4]","Courses",4,"2023-10-01 11:15:24"
27,4,"instructor fawzy, created a new session [hhhhhhhhhhh] #[7]","Courses",1,"2023-10-01 11:17:36"
28,4,"instructor fawzy, started a live session #[7]","Courses",1,"2023-10-01 11:18:23"
29,10,"sohir, created a new session #[3]","Courses",4,"2023-10-01 11:22:57"
30,10,"10, updated storage amount of user #[10], old storage is 300, new storage is 299.7679","Quota",10,"2023-10-01 11:25:03"
31,10,"sohir, Insert new media #[4]","Media",4,"2023-10-01 11:25:03"
32,10,"sohir, created a new session [امراض الدم] #[8]","Courses",4,"2023-10-01 11:25:07"
33,10,"sohir, created a new session #[4]","Courses",4,"2023-10-01 11:30:29"
34,10,"10, updated storage amount of user #[10], old storage is 299.7679, new storage is 299.5771","Quota",10,"2023-10-01 11:31:04"
35,10,"sohir, Insert new media #[5]","Media",5,"2023-10-01 11:31:04"
36,10,"sohir, created a new session [وراثه] #[9]","Courses",4,"2023-10-01 11:31:08"
37,10,"sohir, started a live session #[9]","Courses",4,"2023-10-01 11:32:00"
38,10,"sohir, ended a live session #[9]","Courses",0,"2023-10-01 11:37:31"
39,12,"Lina, created a new course #[5]","Courses",5,"2023-10-01 11:45:47"
40,9,"esraa, ended a live session #[6]","Courses",0,"2023-10-01 11:46:52"
41,12,"Lina, created a new session [live] #[10]","Courses",5,"2023-10-01 11:58:20"
42,12,"Lina, started a live session #[10]","Courses",5,"2023-10-01 11:59:08"
43,12,"Lina, ended a live session #[10]","Courses",0,"2023-10-01 11:59:39"
44,12,"Lina, updated number of invitations of user #[12], old invitations is 30, new invitations number is 29","Quota",6,"2023-10-01 12:00:22"
45,12,"Lina, Invited new student #[13], number of participants before invitations is 19, current number is 20","Courses",5,"2023-10-01 12:00:22"
46,12,"Lina, created a new session [live2] #[11]","Courses",5,"2023-10-01 12:01:56"
47,12,"Lina, started a live session #[11]","Courses",5,"2023-10-01 12:03:26"
48,4,"instructor fawzy, ended a live session #[7]","Courses",0,"2023-10-01 12:37:22"
49,12,"Lina, ended a live session #[11]","Courses",0,"2023-10-01 12:43:43"
50,12,"Lina, created a new session [Lina] #[12]","Courses",5,"2023-10-01 12:56:49"
51,12,"Lina, started a live session #[12]","Courses",5,"2023-10-01 12:57:36"
52,12,"Lina, ended a live session #[12]","Courses",0,"2023-10-01 12:57:53"
53,4,"instructor fawzy, created a new session [qqq] #[13]","Courses",1,"2023-10-01 13:03:08"
54,4,"instructor fawzy, started a live session #[13]","Courses",1,"2023-10-01 13:04:31"
55,12,"Lina, created a new session [Live 4] #[14]","Courses",5,"2023-10-01 13:04:35"
56,12,"Lina, started a live session #[14]","Courses",5,"2023-10-01 13:05:24"
57,4,"instructor fawzy, ended a live session #[13]","Courses",0,"2023-10-01 13:09:23"
58,12,"Lina, ended a live session #[14]","Courses",0,"2023-10-01 13:09:51"
59,12,"Lina, updated number of invitations of user #[12], old invitations is 29, new invitations number is 28","Quota",6,"2023-10-01 13:26:35"
60,12,"Lina, Invited new student #[14], number of participants before invitations is 19, current number is 20","Courses",5,"2023-10-01 13:26:35"
61,12,"12, updated storage amount of user #[12], old storage is 300, new storage is 188.4852","Quota",12,"2023-10-01 13:30:00"
62,12,"Lina, Insert new media #[6]","Media",6,"2023-10-01 13:30:00"
63,12,"Lina, created a new session [rec] #[15]","Courses",5,"2023-10-01 13:30:53"
64,12,"Lina, updated session [rec] #[15]","Courses",5,"2023-10-01 13:31:27"
65,14,"14 has been blocked for Bypassing preventScreenShot and taking ScreenShots","Users",0,"2023-10-01 13:34:21"
66,4,"instructor fawzy, updated number of invitations of user #[4], old invitations is 29, new invitations number is 28","Quota",1,"2023-10-01 13:55:31"
67,4,"instructor fawzy, Invited new student #[16], number of participants before invitations is 19, current number is 20","Courses",1,"2023-10-01 13:55:31"
68,4,"4, updated storage amount of user #[4], old storage is 300, new storage is 245.2476","Quota",4,"2023-10-01 14:03:21"
69,4,"instructor fawzy, Insert new media #[7]","Media",7,"2023-10-01 14:03:21"
